Номер заявки,Тип сообщения,Момент появления,Момент начала обслуживания,Время ожидания,Время пребывания в канале,Время обслуживания
1,3,4.841,4.841,0.0,1.16,1.16
2,1,6.338,6.338,0.0,0.33,0.33
3,3,2.271,6.668,4.397,5.027,0.63
4,1,4.954,7.298,2.344,3.304,0.96
5,3,1.883,8.258,6.374,7.264,0.89
6,1,5.019,9.148,4.129,4.869,0.74
7,1,2.817,9.888,7.071,7.261,0.19
9,3,6.656,10.078,3.421,3.981,0.56
10,3,5.328,10.638,5.31,5.5,0.19
11,1,3.407,10.828,7.421,7.981,0.56
12,3,3.198,11.388,8.189,9.189,1.0
13,1,5.576,12.388,6.811,8.011,1.2
14,3,6.594,13.588,6.993,7.943,0.95
18,1,5.232,14.538,9.306,9.486,0.18
20,3,4.71,14.718,10.007,10.157,0.15
23,1,3.659,14.868,11.208,11.748,0.54
24,1,2.113,15.408,13.295,14.135,0.84
25,3,2.298,16.248,13.949,14.089,0.14
26,3,3.524,16.388,12.863,13.203,0.34
27,3,3.44,16.728,13.287,13.717,0.43
28,1,6.329,17.158,10.829,11.089,0.26
31,3,4.618,17.418,12.8,13.44,0.64
32,1,6.478,18.058,11.579,12.349,0.77
33,1,5.832,18.828,12.995,13.035,0.04
35,3,1.882,18.868,16.985,17.075,0.09
36,3,6.284,18.958,12.673,13.513,0.84
37,3,5.496,19.798,14.301,15.451,1.15
39,3,4.386,20.948,16.562,17.402,0.84
41,1,4.106,21.788,17.682,18.812,1.13
44,1,3.643,22.918,19.275,20.025,0.75
45,3,3.565,23.668,20.103,20.933,0.83
46,3,5.07,24.498,19.428,20.188,0.76
47,1,2.611,25.258,22.647,23.767,1.12
49,1,4.96,26.378,21.417,21.487,0.07
51,3,3.295,26.448,23.152,24.232,1.08
53,3,5.021,27.528,22.506,23.076,0.57
55,2,5.603,28.098,22.495,22.705,0.21
56,3,1.536,28.308,26.772,27.762,0.99
58,3,6.337,29.298,22.961,23.991,1.03
59,3,5.437,30.328,24.891,25.261,0.37
61,1,4.553,30.698,26.144,26.324,0.18
62,1,6.447,30.878,24.431,24.851,0.42
64,3,3.606,31.298,27.692,28.172,0.48
65,3,5.649,31.778,26.129,27.019,0.89
67,1,5.37,32.668,27.298,27.838,0.54
68,3,6.582,33.208,26.626,27.006,0.38
70,3,3.479,33.588,30.109,31.259,1.15
72,1,2.7,34.738,32.037,32.347,0.31
75,3,4.96,35.048,30.087,31.037,0.95
77,3,3.337,35.998,32.661,32.961,0.3
78,3,4.968,36.298,31.33,32.3,0.97
80,3,4.92,37.268,32.347,32.537,0.19
81,1,3.64,37.458,33.818,34.508,0.69
82,3,4.896,38.148,33.251,33.871,0.62
83,1,2.086,38.768,36.682,37.552,0.87
84,1,1.499,39.638,38.139,38.539,0.4
85,1,3.211,40.038,36.827,37.777,0.95
86,1,2.992,40.988,37.995,38.485,0.49
87,3,3.608,41.478,37.869,38.749,0.88
89,3,4.624,42.358,37.733,37.973,0.24
90,1,4.48,42.598,38.117,39.227,1.11
93,2,1.016,43.708,42.692,43.272,0.58
94,1,5.517,44.288,38.771,38.951,0.18
98,1,4.973,44.468,39.495,40.105,0.61
100,1,3.414,45.078,41.664,42.194,0.53
67,1,5.37,45.608,40.238,40.778,0.54
68,3,6.582,46.148,39.566,39.946,0.38
69,1,6.762,46.528,39.765,40.555,0.79
70,3,3.479,47.318,43.839,44.989,1.15
72,1,2.7,48.468,45.767,46.077,0.31
73,3,7.168,48.778,41.61,42.18,0.57
75,3,4.96,49.348,44.387,45.337,0.95
77,3,3.337,50.298,46.961,47.261,0.3
78,3,4.968,50.598,45.63,46.6,0.97
80,3,4.92,51.568,46.647,46.837,0.19
81,1,3.64,51.758,48.118,48.808,0.69
82,3,4.896,52.448,47.551,48.171,0.62
83,1,2.086,53.068,50.982,51.852,0.87
84,1,1.499,53.938,52.439,52.839,0.4
85,1,3.211,54.338,51.127,52.077,0.95
86,1,2.992,55.288,52.295,52.785,0.49
87,3,3.608,55.778,52.169,53.049,0.88
89,3,4.624,56.658,52.033,52.273,0.24
90,1,4.48,56.898,52.417,53.527,1.11
93,2,1.016,58.008,56.992,57.572,0.58
94,1,5.517,58.588,53.071,53.251,0.18
98,1,4.973,58.768,53.795,54.405,0.61
100,1,3.414,59.378,55.964,56.494,0.53
89,3,4.624,59.908,55.283,55.523,0.24
90,1,4.48,60.148,55.667,56.777,1.11
93,2,1.016,61.258,60.242,60.822,0.58
94,1,5.517,61.838,56.321,56.501,0.18
96,3,7.76,62.018,54.258,54.888,0.63
98,1,4.973,62.648,57.675,58.285,0.61
99,1,8.215,63.258,55.042,55.582,0.54
100,1,3.414,63.798,60.384,60.914,0.53
98,1,4.973,64.328,59.355,59.965,0.61
99,1,8.215,64.938,56.722,57.262,0.54
100,1,3.414,65.478,62.064,62.594,0.53
100,1,3.414,66.008,62.594,63.124,0.53
