Номер заявки,Тип сообщения,Момент появления,Момент начала обслуживания,Время ожидания,Время пребывания в канале,Время обслуживания
1,3,4.841,4.841,0.0,1.16,1.16
2,1,6.338,6.338,0.0,0.33,0.33
4,1,4.954,6.668,1.714,2.674,0.96
6,1,5.019,7.628,2.609,3.349,0.74
7,1,2.817,8.368,5.551,5.741,0.19
11,1,3.407,8.558,5.151,5.711,0.56
13,1,5.576,9.118,3.541,4.741,1.2
18,1,5.232,10.318,5.086,5.266,0.18
23,1,3.659,10.498,6.838,7.378,0.54
24,1,2.113,11.038,8.925,9.765,0.84
28,1,6.329,11.878,5.549,5.809,0.26
32,1,6.478,12.138,5.659,6.429,0.77
33,1,5.832,12.908,7.075,7.115,0.04
41,1,4.106,12.948,8.842,9.972,1.13
44,1,3.643,14.078,10.435,11.185,0.75
47,1,2.611,14.828,12.217,13.337,1.12
49,1,4.96,15.948,10.987,11.057,0.07
61,1,4.553,16.018,11.464,11.644,0.18
62,1,6.447,16.198,9.751,10.171,0.42
67,1,5.37,16.618,11.248,11.788,0.54
67,1,5.37,17.158,11.788,12.328,0.54
69,1,6.762,17.698,10.935,11.725,0.79
71,1,7.399,18.488,11.089,11.549,0.46
72,1,2.7,18.948,16.247,16.557,0.31
72,1,2.7,19.258,16.557,16.867,0.31
81,1,3.64,19.568,15.928,16.618,0.69
81,1,3.64,20.258,16.618,17.308,0.69
83,1,2.086,20.948,18.862,19.732,0.87
83,1,2.086,21.818,19.732,20.602,0.87
84,1,1.499,22.688,21.189,21.589,0.4
84,1,1.499,23.088,21.589,21.989,0.4
85,1,3.211,23.488,20.277,21.227,0.95
85,1,3.211,24.438,21.227,22.177,0.95
86,1,2.992,25.388,22.395,22.885,0.49
86,1,2.992,25.878,22.885,23.375,0.49
90,1,4.48,26.368,21.887,22.997,1.11
90,1,4.48,27.478,22.997,24.107,1.11
90,1,4.48,28.588,24.107,25.217,1.11
94,1,5.517,29.698,24.181,24.361,0.18
94,1,5.517,29.878,24.361,24.541,0.18
94,1,5.517,30.058,24.541,24.721,0.18
98,1,4.973,30.238,25.265,25.875,0.61
98,1,4.973,30.848,25.875,26.485,0.61
98,1,4.973,31.458,26.485,27.095,0.61
98,1,4.973,32.068,27.095,27.705,0.61
99,1,8.215,32.678,24.462,25.002,0.54
99,1,8.215,33.218,25.002,25.542,0.54
100,1,3.414,33.758,30.344,30.874,0.53
100,1,3.414,34.288,30.874,31.404,0.53
100,1,3.414,34.818,31.404,31.934,0.53
100,1,3.414,35.348,31.934,32.464,0.53
100,1,3.414,35.878,32.464,32.994,0.53
55,2,5.603,36.408,30.805,31.015,0.21
93,2,1.016,36.618,35.602,36.182,0.58
93,2,1.016,37.198,36.182,36.762,0.58
93,2,1.016,37.778,36.762,37.342,0.58
3,3,2.271,38.358,36.087,36.717,0.63
5,3,1.883,38.988,37.104,37.994,0.89
9,3,6.656,39.878,33.221,33.781,0.56
10,3,5.328,40.438,35.11,35.3,0.19
12,3,3.198,40.628,37.429,38.429,1.0
14,3,6.594,41.628,35.033,35.983,0.95
20,3,4.71,42.578,37.867,38.017,0.15
25,3,2.298,42.728,40.429,40.569,0.14
26,3,3.524,42.868,39.343,39.683,0.34
27,3,3.44,43.208,39.767,40.197,0.43
31,3,4.618,43.638,39.02,39.66,0.64
35,3,1.882,44.278,42.395,42.485,0.09
36,3,6.284,44.368,38.083,38.923,0.84
37,3,5.496,45.208,39.711,40.861,1.15
39,3,4.386,46.358,41.972,42.812,0.84
45,3,3.565,47.198,43.633,44.463,0.83
46,3,5.07,48.028,42.958,43.718,0.76
51,3,3.295,48.788,45.492,46.572,1.08
53,3,5.021,49.868,44.846,45.416,0.57
56,3,1.536,50.438,48.902,49.892,0.99
58,3,6.337,51.428,45.091,46.121,1.03
59,3,5.437,52.458,47.021,47.391,0.37
64,3,3.606,52.828,49.222,49.702,0.48
65,3,5.649,53.308,47.659,48.549,0.89
68,3,6.582,54.198,47.616,47.996,0.38
68,3,6.582,54.578,47.996,48.376,0.38
70,3,3.479,54.958,51.479,52.629,1.15
70,3,3.479,56.108,52.629,53.779,1.15
73,3,7.168,57.258,50.09,50.66,0.57
75,3,4.96,57.828,52.867,53.817,0.95
75,3,4.96,58.778,53.817,54.767,0.95
77,3,3.337,59.728,56.391,56.691,0.3
77,3,3.337,60.028,56.691,56.991,0.3
78,3,4.968,60.328,55.36,56.33,0.97
78,3,4.968,61.298,56.33,57.3,0.97
80,3,4.92,62.268,57.347,57.537,0.19
80,3,4.92,62.458,57.537,57.727,0.19
82,3,4.896,62.648,57.751,58.371,0.62
82,3,4.896,63.268,58.371,58.991,0.62
87,3,3.608,63.888,60.279,61.159,0.88
87,3,3.608,64.768,61.159,62.039,0.88
89,3,4.624,65.648,61.023,61.263,0.24
89,3,4.624,65.888,61.263,61.503,0.24
96,3,7.76,66.128,58.368,58.998,0.63
